LOCATION,Country,Value,GDPPerCapita
AUS,Australia,7.1,51680.31652
AUT,Austria,7.2,48588.65938
BEL,Belgium,6.8,45205.33594
CAN,Canada,7,43258.26387
CZE,Czech Republic,6.9,22933.49959
DNK,Denmark,7.5,61063.31643
FIN,Finland,7.9,48755.35501
FRA,France,6.7,39037.12263
DEU,Germany,7.3,46252.6893
GRC,Greece,5.8,17647.23269
HUN,Hungary,6,15980.10823
ISL,Iceland,7.6,59264.03409
IRL,Ireland,7,85422.54287
ITA,Italy,6.5,31769.96587
JPN,Japan,6.1,40193.25244
KOR,Korea,5.8,31597.50465
LUX,Luxembourg,7.4,116356.158
MEX,Mexico,6,8329.271313
NLD,Netherlands,7.5,52396.03221
NZL,New Zealand,7.3,41441.46667
NOR,Norway,7.3,67329.67779
POL,Poland,6.1,15742.45373
PRT,Portugal,5.8,22194.56611
SVK,Slovak Republic,6.5,19266.51357
ESP,Spain,6.5,27056.42175
SWE,Sweden,7.3,52274.40879
CHE,Switzerland,7.5,87100.41482
TUR,Turkey,4.9,8536.43332
GBR,United Kingdom,6.8,41059.16881
USA,United States,7,63206.52108
BRA,Brazil,6.1,6796.844542
CHL,Chile,6.2,13231.70421
EST,Estonia,6.5,23054.35849
ISR,Israel,7.2,44177.57122
LVA,Latvia,6.2,17736.50375
RUS,Russia,5.5,10126.72179
SVN,Slovenia,6.5,25489.50023
ZAF,South Africa,4.9,5655.867654
